1159.3085279916484, 1.0760852821318167e-14
1173.0750685110272, 1.1925200608662809e-14
1187.0443084580825, 1.319274888032084e-14
1200.6514746182959, 1.4516737040991697e-14
1211.2173757014225, 1.5598871680051647e-14
1228.2541523096615, 1.7471303897151564e-14
1242.3538839227458, 1.912704238542135e-14
1255.9167993832011, 2.0812673307640023e-14
1269.6261359503112, 2.261660358049657e-14
1283.591556970355, 2.455796454865989e-14
1297.5453377879928, 2.6592504960006914e-14
1311.3242338727218, 2.871055778183101e-14
1325.4417295320704, 3.0982601353751145e-14
1339.2457162298563, 3.331392940597081e-14
1352.9450586837895, 3.5722562854963326e-14
1366.5330370668771, 3.8213263883181515e-14
1380.3506205866574, 4.08493684905038e-14
1403.4486047453042, 4.548817349879354e-14
1417.380751247359, 4.8422718640752744e-14
1431.054865914133, 5.140648257572779e-14
1444.9947211108367, 5.454283907755921e-14
1458.7812909576794, 5.774154574877922e-14
1472.348726453912, 6.098257879876134e-14
1486.4308473617818, 6.444913770440759e-14
1500.1211177084695, 6.790730386450802e-14
1514.11318479791, 7.152801250875146e-14
1527.842392013572, 7.517852180414804e-14
1538.9143539663899, 7.818936173972922e-14
1559.1507713834153, 8.380384147202057e-14
1572.5213689155685, 8.760049616852216e-14
1586.55387721664, 9.168015061572958e-14
1600.3577254339034, 9.576152933034995e-14
1614.1569952169943, 9.992296859203052e-14
1628.1218735047198, 1.0419399793015983e-13
1642.0280170226342, 1.0850268990307896e-13
1656.1870209192675, 1.1296506803394626e-13
1669.7760721254958, 1.1729471891298772e-13
1683.4636311569302, 1.2172987538111805e-13
1697.3276530804587, 1.2625548721665003e-13
1711.1203822433035, 1.3081580235688456e-13
1723.6011343369755, 1.3497389466436255e-13
