wavelength,readnoise,dark_counts,sky_counts,target_counts,total_counts
1137.0883,0,0.15467,3.7e-07,53.413,53.568
1137.0983,0,0.15467,3.7002e-07,53.424,53.578
1137.1083,0,0.15466,3.7004e-07,53.434,53.589
1137.1184,0,0.15466,3.7006e-07,53.444,53.599
1137.1284,0,0.15467,3.7008e-07,53.454,53.609
1137.1385,0,0.15467,3.7009e-07,53.465,53.619
1137.1485,0,0.15466,3.7011e-07,53.475,53.63
1137.1585,0,0.15466,3.7013e-07,53.485,53.64
1137.1686,0,0.15467,3.7015e-07,53.495,53.65
1137.1786,0,0.15467,3.7017e-07,53.506,53.66
1137.1886,0,0.15466,3.7018e-07,53.516,53.671
1137.1987,0,0.15467,3.702e-07,53.526,53.681
1137.2087,0,0.15466,3.7022e-07,53.536,53.691
1137.2187,0,0.15467,3.7024e-07,53.547,53.701
1137.2288,0,0.15467,3.7026e-07,53.557,53.711
1137.2388,0,0.15466,3.7027e-07,53.567,53.722
1137.2489,0,0.15466,3.7029e-07,53.577,53.732
1137.2589,0,0.15467,3.7031e-07,53.587,53.742
1137.2689,0,0.15467,3.7033e-07,53.598,53.752
1137.2790,0,0.15467,3.7035e-07,53.608,53.763
1137.2890,0,0.15466,3.7036e-07,53.618,53.773
1137.2990,0,0.15467,3.7038e-07,53.628,53.783
1137.3091,0,0.15467,3.704e-07,53.639,53.793
1137.3191,0,0.15466,3.7042e-07,53.649,53.803
1137.3291,0,0.15466,3.7043e-07,53.659,53.814
1137.3392,0,0.15467,3.7045e-07,53.669,53.824
1137.3492,0,0.15467,3.7047e-07,53.679,53.834
1137.3593,0,0.15466,3.7049e-07,53.69,53.844
1137.3693,0,0.15466,3.705e-07,53.7,53.855
1137.3793,0,0.15467,3.7052e-07,53.71,53.865
1137.3894,0,0.15467,3.7054e-07,53.72,53.875
1137.3994,0,0.15466,3.7056e-07,53.73,53.885
1137.4094,0,0.15466,3.7057e-07,53.741,53.895
1137.4195,0,0.15467,3.7059e-07,53.751,53.906
1137.4295,0,0.15466,3.7061e-07,53.761,53.916
1137.4395,0,0.15467,3.7062e-07,53.771,53.926
1137.4496,0,0.15466,3.7064e-07,53.781,53.936
1137.4596,0,0.15466,3.7066e-07,53.792,53.946
1137.4696,0,0.15467,3.7067e-07,53.802,53.956
1137.4797,0,0.15466,3.7069e-07,53.812,53.967
1137.4897,0,0.15467,3.7071e-07,53.822,53.977
1137.4998,0,0.15466,3.7072e-07,53.832,53.987
1137.5098,0,0.15467,3.7074e-07,53.843,53.997
1137.5198,0,0.15467,3.7076e-07,53.853,54.008
1137.5299,0,0.15466,3.7077e-07,53.863,54.018
1137.5399,0,0.15466,3.7079e-07,53.873,54.028
1137.5499,0,0.15467,3.7081e-07,53.884,54.038
