Target Name,RA,RA Uncertainty,DEC,DEC Uncertainty,Reference Frame,Epoch,RA PM,RA PM units,DEC PM,DEC PM units,Annual Parallax,V-Magnitude,Mag Uncertainty,Other Fluxes,Category,Description,Radial Velocity,Comments
TOI-233,343.7100592349062,1.920000067912042e-05,-18.911828195504995,1.920000067912042e-05,ICRS,2000.0,-317.889,MAS/YR,-143.283,MAS/YR,0.0296508,13.354000091552734,,"G=12.40, NUV=22.61",STAR,"[M V-IV, Extra-solar Planetary System]",35.82,Predicted Lya flux before ISM absorption 2.6e-14;FUV used for buffer time estimate 21.92;deemed ACTIVE due to the absence of information indicating otherwise;stellar mass 0.49;stellar Teff 3644.00;GALEX fuv mag > 21.92;Rossby number unknown due to no cataloged rotation period;no cataloged age
TOI-6078,243.21596686721003,1.1199999789823778e-05,16.30606715107,1.1199999789823778e-05,ICRS,2000.0,18.714,MAS/YR,-42.9,MAS/YR,0.014571500000000001,9.930000305175781,,G=9.70,STAR,"[K V-IV, Extra-solar Planetary System]",-45.69,Predicted Lya flux before ISM absorption 3.8e-14;FUV used for buffer time estimate 19.66;deemed ACTIVE due to the absence of information indicating otherwise;stellar mass 0.87;stellar Teff 5212.00;no GALEX fuv observation;Rossby number unknown due to no cataloged rotation period;no cataloged age
TOI-4438,270.31708428625325,1.2500000593718141e-05,35.59735982410639,1.2500000593718141e-05,ICRS,2000.0,29.212,MAS/YR,-571.512,MAS/YR,0.0332642,13.69,0.045,G=12.50,STAR,"[M V-IV, Extra-solar Planetary System]",-35.81,Predicted Lya flux before ISM absorption 2.7e-14;FUV used for buffer time estimate 30.79;deemed INACTIVE on the basis of Rossby number > 0.5;stellar mass 0.37;stellar Teff 3422.00;GALEX fuv mag > 21.28;Rossby number estimate of 9.13 based on measured 68.0 d rotation period;cataloged age of 5 Gyr
TOI-1452,290.17385790455,1.4399999599845614e-05,73.19542714291,1.4399999599845614e-05,ICRS,2000.0,7.8,MAS/YR,-74.076,MAS/YR,0.0327823,14.354,0.121,G=13.60,STAR,"[M V-IV, Extra-solar Planetary System]",-34.3406,Predicted Lya flux before ISM absorption 8.2e-15;FUV used for buffer time estimate 22.37;deemed ACTIVE due to the absence of information indicating otherwise;stellar mass 0.25;stellar Teff 3185.00;GALEX fuv mag > 21.34;Rossby number unknown due to no cataloged rotation period;no cataloged age
TOI-687,137.67134338611913,8.199999683711212e-06,-45.097516294338895,8.199999683711212e-06,ICRS,2000.0,241.237,MAS/YR,-308.528,MAS/YR,0.023569299999999998,11.109999656677246,,G=10.60,STAR,"[K V-IV, Extra-solar Planetary System]",-2.94,Predicted Lya flux before ISM absorption 2.2e-14;FUV used for buffer time estimate 19.95;deemed ACTIVE due to the absence of information indicating otherwise;stellar mass 0.68;stellar Teff 4253.90;no GALEX fuv observation;Rossby number unknown due to no cataloged rotation period;no cataloged age
TOI-1751,243.48877044205,9.499999578110874e-06,63.53427381238999,9.499999578110874e-06,ICRS,2000.0,8.602,MAS/YR,-172.839,MAS/YR,0.0088091,9.327,0.003,"G=9.20, NUV=13.67, FUV=20.40",STAR,"[F3-F9, Extra-solar Planetary System]",-46.02,Predicted Lya flux before ISM absorption 4.5e-14;FUV used for buffer time estimate 20.40;deemed INACTIVE on the basis of age > 1;stellar mass 0.94;stellar Teff 5970.00;GALEX fuv mag = 20.40;Rossby number unknown due to no cataloged rotation period;cataloged age of 9 Gyr
TOI-1696,65.2805638692375,2.6699999580159783e-05,48.81991316806139,2.6699999580159783e-05,ICRS,2000.0,12.873,MAS/YR,-19.046,MAS/YR,0.0154752,16.82,1.133,"G=15.31, NUV=21.43",STAR,"[M V-IV, Extra-solar Planetary System]",-4.1,Predicted Lya flux before ISM absorption 3.8e-14;FUV used for buffer time estimate 28.64;deemed INACTIVE on the basis of age > 1;stellar mass 0.26;stellar Teff 3185.00;GALEX fuv mag > 20.99;Rossby number unknown due to no cataloged rotation period;cataloged age of 7 Gyr
TOI-2276,261.83703819900006,1.0700000530050602e-05,58.2140367926,1.0700000530050602e-05,ICRS,2000.0,-33.604,MAS/YR,73.211,MAS/YR,0.014672900000000001,9.5600004196167,,"G=9.39, NUV=15.46",STAR,"[G V-IV, Extra-solar Planetary System]",-20.930201,Predicted Lya flux before ISM absorption 5.9e-14;FUV used for buffer time estimate 21.48;deemed INACTIVE on the basis fuv no more than 3x brighter than median for field stars of similar Teff < 5500;stellar mass 0.94;stellar Teff 5482.02;GALEX fuv mag > 21.48;Rossby number unknown due to no cataloged rotation period;no cataloged age
TOI-1268,198.389203528,1.049999991664663e-05,62.30544600908,1.049999991664663e-05,ICRS,2000.0,-66.97,MAS/YR,-15.352,MAS/YR,0.0090854,10.920000076293945,0.008,"G=10.69, NUV=17.70",STAR,"[K V-IV, Extra-solar Planetary System]",-47.224,Predicted Lya flux before ISM absorption 4.4e-14;FUV used for buffer time estimate 24.87;deemed INACTIVE on the basis of Rossby number > 0.5;stellar mass 0.96;stellar Teff 5300.00;GALEX fuv mag > 21.80;Rossby number estimate of 0.84 based on measured 10.9 d rotation period;cataloged age of 0.2 Gyr
TOI-1235,152.21586245248002,8.69999985297909e-06,69.27654453264,8.69999985297909e-06,ICRS,2000.0,196.633,MAS/YR,17.627,MAS/YR,0.025242999999999998,11.495,0.056,"G=10.85, NUV=20.56",STAR,"[M V-IV, Extra-solar Planetary System]",-27.74811,Predicted Lya flux before ISM absorption 9.0e-14;FUV used for buffer time estimate 27.77;deemed INACTIVE on the basis fuv no more than 3x brighter than median for field stars of similar Teff < 5500;stellar mass 0.63;stellar Teff 3997.00;GALEX fuv mag > 23.26;Rossby number estimate of 4.98 based on measured 44.7 d rotation period;cataloged age of 5 Gyr
