name,slctd,rank
GJ 143,1,6
GJ 143,1,6
HD 60779,1,7
HD 95338,1,8
TOI-2443,1,12
TOI-2134,1,15
TOI-2134,1,15
TOI-2194,1,16
TOI-1468,1,17
TOI-1468,1,17
TOI-5789,1,18
TOI-6965,1,20
TOI-6965,1,20
HAT-P-20,1,21
HD 110067,1,23
HD 110067,1,23
HD 110067,1,23
HD 110067,1,23
HD 110067,1,23
HD 110067,1,23
HD 110067,1,23
HD 207496,1,25
TOI-1231,1,26
TOI-406,1,27
TOI-406,1,27
TOI-406,1,27
TOI-1774,1,29
TOI-6973,1,31
TOI-1710,1,32
HD 73344,1,33
WASP-59,1,34
HD 207897,1,35
HIP 9618,1,37
HIP 9618,1,37
TOI-7481,1,39
TOI-1224,1,40
TOI-1224,1,40
TOI-712,1,43
TOI-712,1,43
TOI-712,1,43
HR 858,1,44
HR 858,1,44
HR 858,1,44
LTT 3780,1,45
LTT 3780,1,45
TOI-444,1,46
TOI-1898,1,48
HD 18599,1,50
TOI-2322,1,51
TOI-2322,1,51
HD 224018,1,52
HD 224018,1,52
TOI-1203,1,53
TOI-1203,1,53
HD 135694,1,54
HD 21520,1,55
HD 5278,1,56
HD 22946,1,57
HD 22946,1,57
HD 22946,1,57
TOI-815,1,59
TOI-815,1,59
K2-72,1,60
K2-72,1,60
K2-72,1,60
K2-72,1,60
TOI-5554,1,61
TOI-1434,1,62
TOI-1266,1,63
TOI-1266,1,63
TOI-2285,1,64
TOI-2285,1,64
TOI-700,1,65
TOI-700,1,65
TOI-700,1,65
TOI-700,1,65
TOI-4576,1,67
TOI-4632,1,68
TOI-1467,1,70
Kepler-37,1,71
Kepler-37,1,71
Kepler-37,1,71
Kepler-37,1,71
Kepler-37,1,71
GJ 1214,1,72
HD 15906,1,73
HD 15906,1,73
WASP-84,1,76
WASP-84,1,76
TOI-2094,1,77
LP 714-47,1,78
TOI-270,1,79
TOI-270,1,79
TOI-270,1,79
HD 235088,1,81
TOI-2018,1,83
TOI-2095,1,84
TOI-2095,1,84
K2-3,1,85
K2-3,1,85
K2-3,1,85
HD 17156,1,86
TOI-1730,1,87
TOI-1730,1,87
TOI-1730,1,87
TOI-198,1,88
HD 183579,1,90
TOI-2015,1,91
TOI-1728,1,93
TOI-233,1,94
TOI-233,1,94
TOI-1452,1,95
TOI-6078,1,96
TOI-6078,1,96
TOI-4438,1,97
TOI-4336 A,1,98
TOI-904,1,99
TOI-904,1,99
TOI-6041,1,100
TOI-687,1,101
TOI-1696,1,102
TOI-480,1,103
TOI-1691,1,104
TOI-2459,1,105
GJ 3090,1,106
TOI-1751,1,107
TOI-2276,1,108
TOI-1718,1,109
HD 332231,1,110
HD 35843,1,111
TOI-1742,1,112
TOI-1268,1,113
TOI-1451,1,114
KELT-2 A,1,115
TOI-286,1,116
TOI-286,1,116
TOI-1801,1,117
TOI-1235,1,118
HD 3167,1,119
HD 3167,1,119
TOI-6850,1,120
TOI-5799,1,121
TOI-5799,1,121
TOI-257,1,122
TOI-620,1,123
TOI-122,1,124
K2-9,1,125
TOI-6992,1,126
TOI-2136,1,127
HD 23472,1,128
HD 23472,1,128
HD 23472,1,128
HD 23472,1,128
HD 23472,1,128
TOI-870,1,129
TOI-133,1,130
Wolf 503,1,132
TOI-2079,1,133
TOI-2079,1,133
TOI-5388,1,134
HIP 94235,1,135
Kepler-10,1,136
Kepler-10,1,136
TOI-1695,1,138
TOI-2128,1,139
TOI-771,1,140
TOI-5788,1,141
TOI-5788,1,141
TOI-727,1,143
TOI-727,1,143
K2-174,1,144
HD 42813,1,146
HD 42813,1,146
HD 42813,1,146
TOI-6871,1,148
TOI-5169,1,150
HIP 113103,1,151
HIP 113103,1,151
TOI-2287,1,152
TOI-4185,1,154
Kepler-138,1,156
Kepler-138,1,156
Kepler-138,1,156
TOI-1643,1,158
TOI-1752,1,159
TOI-1752,1,159
TOI-4643,1,161
TOI-4643,1,161
TOI-2158,1,162
HD 118203,1,163
TOI-214,1,164
TOI-214,1,164
K2-18,1,186
K2-25,1,366
Kepler-444,1,554
Kepler-444,1,554
Kepler-444,1,554
Kepler-444,1,554
HD 219134,1,554
HD 219134,1,554
Kepler-444,1,554
TOI-6919,0,131
TOI-7309,0,147
TOI-6379,0,149
