Teff,FUVmag,ETC,local_max,global_max,buffer_time
2559,22,STIS.sp.1946658,491.06,6153.19,325.03
2800,22,STIS.sp.1946661,2.01,221.17,9042.69
3127,22,STIS.sp.1946664,1.25,212.54,9409.95
3472,22,STIS.sp.1946668,2.42,226.20,8841.61
3679,21,STIS.sp.1946671,1.94,222.35,8994.91
4420,20,STIS.sp.1946674,7.81,298.18,6707.45
4977,20,STIS.sp.1946677,9.39,316.23,6324.45
5170,19,STIS.sp.1946680,9.91,330.12,6058.49
5800,19,STIS.sp.1946683,2.12,229.54,8713.25
6150,15,STIS.sp.1946686,1.11,462.92,4320.41
