Teff,FUVmag,ETC,local_max,global_max,buffer_time
2559,22,STIS.sp.1946649,39.37,3994.95,500.63
2800,22,STIS.sp.1946650,0.17,172.41,11600.00
3127,22,STIS.sp.1946651,0.11,166.61,12004.12
3472,22,STIS.sp.1946667,0.20,175.61,11388.99
3679,21,STIS.sp.1946670,0.16,172.09,11622.13
4420,20,STIS.sp.1946673,0.63,218.29,9162.03
4977,20,STIS.sp.1946676,0.76,230.53,8675.54
5170,19,STIS.sp.1946679,0.80,235.33,8498.56
5800,19,STIS.sp.1946682,0.18,173.47,11529.35
6150,15,STIS.sp.1946685,0.10,170.23,11748.68
