wavelength,readnoise,dark_counts,sky_counts,target_counts,total_counts
1199.9500,0,0.7425,4.9497e-09,80.81,81.552
1200.0000,0,0.7425,4.941e-09,80.895,81.637
1200.0500,0,0.7425,4.9334e-09,80.969,81.711
1200.1000,0,0.7425,4.9267e-09,81.041,81.783
1200.1500,0,0.7425,4.9211e-09,81.113,81.855
1200.2000,0,0.7425,4.9165e-09,81.185,81.927
1200.2500,0,0.7425,4.9129e-09,81.257,81.999
1200.3000,0,0.7425,4.9104e-09,81.329,82.071
1200.3500,0,0.7425,4.9089e-09,81.401,82.143
1200.4000,0,0.7425,4.9084e-09,81.473,82.215
1200.4500,0,0.7425,4.9089e-09,81.545,82.287
1200.5000,0,0.7425,4.9102e-09,81.617,82.359
1200.5500,0,0.7425,4.9117e-09,81.689,82.431
1200.6000,0,0.7425,4.9133e-09,81.761,82.503
1200.6500,0,0.7425,4.9149e-09,81.833,82.575
1200.7000,0,0.7425,4.9164e-09,81.905,82.648
1200.7500,0,0.7425,4.9179e-09,81.977,82.72
1200.8000,0,0.7425,4.9195e-09,82.049,82.792
1200.8500,0,0.7425,4.921e-09,82.121,82.864
1200.9000,0,0.7425,4.9226e-09,82.194,82.936
1200.9500,0,0.7425,4.9241e-09,82.266,83.008
1201.0000,0,0.7425,4.9256e-09,82.338,83.081
1201.0500,0,0.7425,4.9271e-09,82.41,83.153
1201.1000,0,0.7425,4.9287e-09,82.482,83.225
1201.1500,0,0.7425,4.9302e-09,82.555,83.297
1201.2000,0,0.7425,4.9317e-09,82.627,83.369
1201.2500,0,0.7425,4.9332e-09,82.699,83.442
1201.3000,0,0.7425,4.9347e-09,82.772,83.514
1201.3500,0,0.7425,4.9362e-09,82.844,83.586
1201.4000,0,0.7425,4.9377e-09,82.916,83.659
1201.4500,0,0.7425,4.9392e-09,82.988,83.731
1201.5000,0,0.7425,4.9407e-09,83.061,83.803
1201.5500,0,0.7425,4.9422e-09,83.133,83.876
1201.6000,0,0.7425,4.9436e-09,83.205,83.948
1201.6500,0,0.7425,4.9451e-09,83.278,84.02
1201.7000,0,0.7425,4.9466e-09,83.35,84.093
1201.7500,0,0.7425,4.9481e-09,83.423,84.165
1201.8000,0,0.7425,4.9495e-09,83.495,84.238
1201.8500,0,0.7425,4.951e-09,83.568,84.31
1201.9000,0,0.7425,4.9525e-09,83.64,84.382
1201.9500,0,0.7425,4.9539e-09,83.712,84.455
1202.0000,0,0.7425,4.9554e-09,83.785,84.527
1202.0500,0,0.7425,4.9568e-09,83.857,84.6
1202.1000,0,0.7425,4.9583e-09,83.93,84.672
1202.1500,0,0.7425,4.9597e-09,84.002,84.745
1202.2000,0,0.7425,4.9611e-09,84.075,84.817
1202.2500,0,0.7425,4.9626e-09,84.147,84.89
1202.3000,0,0.7425,4.964e-09,84.22,84.962
