wavelength,readnoise,dark_counts,sky_counts,target_counts,total_counts
1194.5000,0,0.7425,1.2844e-08,78.26,79.002
1194.5500,0,0.7425,1.3152e-08,83.571,84.313
1194.6000,0,0.7425,1.3503e-08,83.667,84.409
1194.6500,0,0.7425,1.3854e-08,83.763,84.505
1194.7000,0,0.7425,1.4204e-08,83.859,84.601
1194.7500,0,0.7425,1.4553e-08,83.955,84.697
1194.8000,0,0.7425,1.4901e-08,84.051,84.794
1194.8500,0,0.7425,1.5248e-08,84.147,84.89
1194.9000,0,0.7425,1.5595e-08,84.244,84.986
1194.9500,0,0.7425,1.594e-08,84.34,85.082
1195.0000,0,0.7425,1.6285e-08,84.436,85.179
1195.0500,0,0.7425,1.6629e-08,84.533,85.275
1195.1000,0,0.7425,1.6972e-08,84.629,85.372
1195.1500,0,0.7425,1.7315e-08,84.726,85.468
1195.2000,0,0.7425,1.7656e-08,84.822,85.565
1195.2500,0,0.7425,1.7997e-08,84.919,85.662
1195.3000,0,0.7425,1.8337e-08,85.016,85.758
1195.3500,0,0.7425,1.8676e-08,85.113,85.855
1195.4000,0,0.7425,1.9014e-08,85.209,85.952
1195.4500,0,0.7425,1.9351e-08,85.306,86.049
1195.5000,0,0.7425,1.9688e-08,85.403,86.146
1195.5500,0,0.7425,2.0023e-08,85.5,86.243
1195.6000,0,0.7425,2.0358e-08,85.597,86.34
1195.6500,0,0.7425,2.0692e-08,85.695,86.437
1195.7000,0,0.7425,2.1025e-08,85.792,86.534
1195.7500,0,0.7425,2.1357e-08,85.889,86.631
1195.8000,0,0.7425,2.1688e-08,85.986,86.729
1195.8500,0,0.7425,2.2018e-08,86.084,86.826
1195.9000,0,0.7425,2.2348e-08,86.181,86.924
1195.9500,0,0.7425,2.2676e-08,86.279,87.021
1196.0000,0,0.7425,2.3004e-08,86.376,87.119
1196.0500,0,0.7425,2.3331e-08,86.474,87.216
1196.1000,0,0.7425,2.3657e-08,86.571,87.314
1196.1500,0,0.7425,2.3982e-08,86.669,87.411
1196.2000,0,0.7425,2.4262e-08,86.767,87.509
1196.2500,0,0.7425,2.4271e-08,86.865,87.607
1196.3000,0,0.7425,2.4218e-08,86.962,87.705
1196.3500,0,0.7425,2.4162e-08,87.06,87.803
1196.4000,0,0.7425,2.4105e-08,87.158,87.901
1196.4500,0,0.7425,2.4049e-08,87.256,87.999
1196.5000,0,0.7425,2.3992e-08,87.354,88.097
1196.5500,0,0.7425,2.3935e-08,87.452,88.195
1196.6000,0,0.7425,2.3878e-08,87.551,88.293
1196.6500,0,0.7425,2.3821e-08,87.649,88.391
1196.7000,0,0.7425,2.3763e-08,87.747,88.49
1196.7500,0,0.7425,2.3706e-08,87.846,88.588
1196.8000,0,0.7425,2.3648e-08,87.944,88.687
1196.8500,0,0.7425,2.359e-08,88.042,88.785
1196.9000,0,0.7425,2.3532e-08,88.141,88.884
1196.9500,0,0.7425,2.3474e-08,88.24,88.982
1197.0000,0,0.7425,2.3416e-08,88.338,89.081
1197.0500,0,0.7425,2.3357e-08,88.437,89.179
1197.1000,0,0.7425,2.3298e-08,88.536,89.278
1197.1500,0,0.7425,2.324e-08,88.634,89.377
1197.2000,0,0.7425,2.3181e-08,88.733,89.476
1197.2500,0,0.7425,2.3121e-08,88.832,89.575
1197.3000,0,0.7425,2.3062e-08,88.931,89.674
1197.3500,0,0.7425,2.3003e-08,89.03,89.773
1197.4000,0,0.7425,2.2943e-08,89.129,89.872
1197.4500,0,0.7425,2.2883e-08,89.228,89.971
1197.5000,0,0.7425,2.2823e-08,89.328,90.07
1197.5500,0,0.7425,2.2763e-08,89.427,90.169
1197.6000,0,0.7425,2.2703e-08,89.526,90.269
1197.6500,0,0.7425,2.2642e-08,89.625,90.368
1197.7000,0,0.7425,2.2581e-08,89.725,90.467
1197.7500,0,0.7425,2.2521e-08,89.824,90.567
1197.8000,0,0.7425,2.246e-08,89.924,90.666
1197.8500,0,0.7425,2.2399e-08,90.023,90.766
1197.9000,0,0.7425,2.2337e-08,90.123,90.865
1197.9500,0,0.7425,2.2276e-08,90.223,90.965
1198.0000,0,0.7425,2.2214e-08,90.322,91.065
1198.0500,0,0.7425,2.2152e-08,90.422,91.165
