wavelength,readnoise,dark_counts,sky_counts,target_counts,total_counts
1194.5000,0,0.7425,6.7207e-10,40.346,41.088
1194.5500,0,0.7425,9.5635e-10,43.085,43.827
1194.6000,0,0.7425,1.2425e-09,43.135,43.878
1194.6500,0,0.7425,1.2961e-09,43.186,43.928
1194.7000,0,0.7425,1.2961e-09,43.236,43.979
1194.7500,0,0.7425,1.2935e-09,43.287,44.03
1194.8000,0,0.7425,1.291e-09,43.338,44.08
1194.8500,0,0.7425,1.2884e-09,43.388,44.131
1194.9000,0,0.7425,1.2858e-09,43.439,44.182
1194.9500,0,0.7425,1.2832e-09,43.49,44.232
1195.0000,0,0.7425,1.2806e-09,43.54,44.283
1195.0500,0,0.7425,1.278e-09,43.591,44.334
1195.1000,0,0.7425,1.2754e-09,43.642,44.385
1195.1500,0,0.7425,1.2728e-09,43.693,44.435
1195.2000,0,0.7425,1.2702e-09,43.744,44.486
1195.2500,0,0.7425,1.2675e-09,43.795,44.537
1195.3000,0,0.7425,1.2649e-09,43.846,44.588
1195.3500,0,0.7425,1.2622e-09,43.897,44.639
1195.4000,0,0.7425,1.2596e-09,43.948,44.69
1195.4500,0,0.7425,1.2569e-09,43.999,44.741
1195.5000,0,0.7425,1.2543e-09,44.05,44.792
1195.5500,0,0.7425,1.2516e-09,44.101,44.843
1195.6000,0,0.7425,1.2489e-09,44.152,44.894
1195.6500,0,0.7425,1.2462e-09,44.203,44.946
1195.7000,0,0.7425,1.2435e-09,44.254,44.997
1195.7500,0,0.7425,1.2408e-09,44.306,45.048
1195.8000,0,0.7425,1.238e-09,44.357,45.099
1195.8500,0,0.7425,1.2353e-09,44.408,45.151
1195.9000,0,0.7425,1.2326e-09,44.459,45.202
1195.9500,0,0.7425,1.2298e-09,44.511,45.253
1196.0000,0,0.7425,1.2271e-09,44.562,45.305
1196.0500,0,0.7425,1.2243e-09,44.614,45.356
1196.1000,0,0.7425,1.2216e-09,44.665,45.408
1196.1500,0,0.7425,1.2188e-09,44.716,45.459
1196.2000,0,0.7425,1.216e-09,44.768,45.511
1196.2500,0,0.7425,1.2132e-09,44.82,45.562
1196.3000,0,0.7425,1.2104e-09,44.871,45.614
1196.3500,0,0.7425,1.2076e-09,44.923,45.665
1196.4000,0,0.7425,1.2048e-09,44.974,45.717
1196.4500,0,0.7425,1.202e-09,45.026,45.769
1196.5000,0,0.7425,1.1991e-09,45.078,45.82
1196.5500,0,0.7425,1.1963e-09,45.129,45.872
1196.6000,0,0.7425,1.1934e-09,45.181,45.924
1196.6500,0,0.7425,1.1906e-09,45.233,45.976
1196.7000,0,0.7425,1.1877e-09,45.285,46.027
1196.7500,0,0.7425,1.1848e-09,45.337,46.079
1196.8000,0,0.7425,1.182e-09,45.389,46.131
1196.8500,0,0.7425,1.1791e-09,45.44,46.183
1196.9000,0,0.7425,1.1762e-09,45.492,46.235
1196.9500,0,0.7425,1.1733e-09,45.544,46.287
1197.0000,0,0.7425,1.1704e-09,45.596,46.339
1197.0500,0,0.7425,1.1674e-09,45.648,46.391
1197.1000,0,0.7425,1.1645e-09,45.701,46.443
1197.1500,0,0.7425,1.1616e-09,45.753,46.495
1197.2000,0,0.7425,1.1586e-09,45.805,46.547
1197.2500,0,0.7425,1.1557e-09,45.857,46.599
1197.3000,0,0.7425,1.1527e-09,45.909,46.652
1197.3500,0,0.7425,1.1498e-09,45.961,46.704
1197.4000,0,0.7425,1.1468e-09,46.014,46.756
1197.4500,0,0.7425,1.1438e-09,46.066,46.808
1197.5000,0,0.7425,1.1408e-09,46.118,46.861
1197.5500,0,0.7425,1.1378e-09,46.171,46.913
1197.6000,0,0.7425,1.1348e-09,46.223,46.965
1197.6500,0,0.7425,1.1318e-09,46.275,47.018
1197.7000,0,0.7425,1.1288e-09,46.328,47.07
1197.7500,0,0.7425,1.1257e-09,46.38,47.123
1197.8000,0,0.7425,1.1227e-09,46.433,47.175
1197.8500,0,0.7425,1.1196e-09,46.485,47.228
1197.9000,0,0.7425,1.1166e-09,46.538,47.28
1197.9500,0,0.7425,1.1135e-09,46.59,47.333
1198.0000,0,0.7425,1.1104e-09,46.643,47.385
1198.0500,0,0.7425,1.1074e-09,46.696,47.438
1198.1000,0,0.7425,1.1043e-09,46.748,47.491
1198.1500,0,0.7425,1.1012e-09,46.801,47.544
1198.2000,0,0.7425,1.0981e-09,46.854,47.596
1198.2500,0,0.7425,1.095e-09,46.907,47.649
1198.3000,0,0.7425,1.0918e-09,46.959,47.702
1198.3500,0,0.7425,1.0887e-09,47.012,47.755
1198.4000,0,0.7425,1.0856e-09,47.065,47.807
1198.4500,0,0.7425,1.0824e-09,47.118,47.86
1198.5000,0,0.7425,1.0793e-09,47.171,47.913
1198.5500,0,0.7425,1.0761e-09,47.224,47.966
1198.6000,0,0.7425,1.0729e-09,47.277,48.019
1198.6500,0,0.7425,1.0697e-09,47.33,48.072
1198.7000,0,0.7425,1.0666e-09,47.383,48.125
1198.7500,0,0.7425,1.0634e-09,47.436,48.178
1198.8000,0,0.7425,1.0602e-09,47.489,48.231
1198.8500,0,0.7425,1.0569e-09,47.542,48.284
1198.9000,0,0.7425,1.0537e-09,47.595,48.338
1198.9500,0,0.7425,1.0505e-09,47.648,48.391
1199.0000,0,0.7425,1.0473e-09,47.702,48.444
1199.0500,0,0.7425,1.044e-09,47.755,48.497
1199.1000,0,0.7425,1.0408e-09,47.808,48.551
1199.1500,0,0.7425,1.0375e-09,47.861,48.604
1199.2000,0,0.7425,1.0342e-09,47.915,48.657
1199.2500,0,0.7425,1.0309e-09,47.968,48.711
1199.3000,0,0.7425,1.0277e-09,48.021,48.764
1199.3500,0,0.7425,1.0244e-09,48.075,48.817
1199.4000,0,0.7425,1.0211e-09,48.128,48.871
1199.4500,0,0.7425,1.0177e-09,48.182,48.924
1199.5000,0,0.7425,1.0144e-09,48.235,48.978
1199.5500,0,0.7425,1.0111e-09,48.289,49.031
1199.6000,0,0.7425,1.0078e-09,48.342,49.085
1199.6500,0,0.7425,1.0044e-09,48.396,49.138
1199.7000,0,0.7425,1.0011e-09,48.449,49.192
1199.7500,0,0.7425,9.9769e-10,48.503,49.246
1199.8000,0,0.7425,9.9432e-10,48.557,49.299
1199.8500,0,0.7425,9.9094e-10,48.61,49.353
1199.9000,0,0.7425,9.8756e-10,48.664,49.407
1199.9500,0,0.7425,9.8437e-10,48.718,49.46
1200.0000,0,0.7425,9.8192e-10,48.771,49.513
1200.0500,0,0.7425,9.8037e-10,48.816,49.559
1200.1000,0,0.7425,9.7975e-10,48.861,49.603
1200.1500,0,0.7425,9.7986e-10,48.905,49.647
1200.2000,0,0.7425,9.8016e-10,48.949,49.692
1200.2500,0,0.7425,9.8048e-10,48.994,49.736
1200.3000,0,0.7425,9.8079e-10,49.038,49.781
1200.3500,0,0.7425,9.8111e-10,49.083,49.825
1200.4000,0,0.7425,9.8142e-10,49.127,49.87
1200.4500,0,0.7425,9.8173e-10,49.172,49.914
1200.5000,0,0.7425,9.8205e-10,49.216,49.959
1200.5500,0,0.7425,9.8236e-10,49.261,50.003
1200.6000,0,0.7425,9.8267e-10,49.305,50.048
1200.6500,0,0.7425,9.8298e-10,49.35,50.092
1200.7000,0,0.7425,9.8329e-10,49.394,50.137
1200.7500,0,0.7425,9.836e-10,49.439,50.182
1200.8000,0,0.7425,9.8391e-10,49.484,50.226
1200.8500,0,0.7425,9.8421e-10,49.528,50.271
1200.9000,0,0.7425,9.8452e-10,49.573,50.315
1200.9500,0,0.7425,9.8483e-10,49.617,50.36
1201.0000,0,0.7425,9.8513e-10,49.662,50.404
1201.0500,0,0.7425,9.8544e-10,49.707,50.449
1201.1000,0,0.7425,9.8574e-10,49.751,50.494
1201.1500,0,0.7425,9.8604e-10,49.796,50.538
1201.2000,0,0.7425,9.8634e-10,49.841,50.583
1201.2500,0,0.7425,9.8665e-10,49.885,50.628
1201.3000,0,0.7425,9.8695e-10,49.93,50.672
1201.3500,0,0.7425,9.8725e-10,49.975,50.717
1201.4000,0,0.7425,9.8755e-10,50.019,50.762
