wavelength,readnoise,dark_counts,sky_counts,target_counts,total_counts
1194.5000,0,0.7425,1.51e-09,52.665,53.407
1194.5500,0,0.7425,1.8336e-09,56.239,56.982
1194.6000,0,0.7425,2.2028e-09,56.305,57.047
1194.6500,0,0.7425,2.5276e-09,56.37,57.112
1194.7000,0,0.7425,2.5867e-09,56.435,57.178
1194.7500,0,0.7425,2.5845e-09,56.5,57.243
1194.8000,0,0.7425,2.5794e-09,56.566,57.308
1194.8500,0,0.7425,2.5742e-09,56.631,57.373
1194.9000,0,0.7425,2.569e-09,56.696,57.439
1194.9500,0,0.7425,2.5639e-09,56.762,57.504
1195.0000,0,0.7425,2.5587e-09,56.827,57.57
1195.0500,0,0.7425,2.5534e-09,56.893,57.635
1195.1000,0,0.7425,2.5482e-09,56.958,57.701
1195.1500,0,0.7425,2.543e-09,57.024,57.766
1195.2000,0,0.7425,2.5377e-09,57.089,57.832
1195.2500,0,0.7425,2.5324e-09,57.155,57.898
1195.3000,0,0.7425,2.5271e-09,57.221,57.963
1195.3500,0,0.7425,2.5218e-09,57.287,58.029
1195.4000,0,0.7425,2.5165e-09,57.352,58.095
1195.4500,0,0.7425,2.5112e-09,57.418,58.161
1195.5000,0,0.7425,2.5058e-09,57.484,58.227
1195.5500,0,0.7425,2.5004e-09,57.55,58.292
1195.6000,0,0.7425,2.495e-09,57.616,58.358
1195.6500,0,0.7425,2.4896e-09,57.682,58.424
1195.7000,0,0.7425,2.4842e-09,57.748,58.49
1195.7500,0,0.7425,2.4788e-09,57.814,58.556
1195.8000,0,0.7425,2.4733e-09,57.88,58.623
1195.8500,0,0.7425,2.4679e-09,57.946,58.689
1195.9000,0,0.7425,2.4624e-09,58.012,58.755
1195.9500,0,0.7425,2.4569e-09,58.079,58.821
1196.0000,0,0.7425,2.4514e-09,58.145,58.887
1196.0500,0,0.7425,2.4459e-09,58.211,58.954
1196.1000,0,0.7425,2.4403e-09,58.278,59.02
1196.1500,0,0.7425,2.4347e-09,58.344,59.086
1196.2000,0,0.7425,2.4292e-09,58.41,59.153
1196.2500,0,0.7425,2.4236e-09,58.477,59.219
1196.3000,0,0.7425,2.418e-09,58.543,59.286
1196.3500,0,0.7425,2.4123e-09,58.61,59.352
1196.4000,0,0.7425,2.4067e-09,58.676,59.419
1196.4500,0,0.7425,2.4011e-09,58.743,59.485
1196.5000,0,0.7425,2.3954e-09,58.81,59.552
1196.5500,0,0.7425,2.3897e-09,58.876,59.619
1196.6000,0,0.7425,2.384e-09,58.943,59.686
1196.6500,0,0.7425,2.3783e-09,59.01,59.752
1196.7000,0,0.7425,2.3725e-09,59.077,59.819
1196.7500,0,0.7425,2.3668e-09,59.143,59.886
1196.8000,0,0.7425,2.361e-09,59.21,59.953
1196.8500,0,0.7425,2.3552e-09,59.277,60.02
1196.9000,0,0.7425,2.3494e-09,59.344,60.087
1196.9500,0,0.7425,2.3436e-09,59.411,60.154
1197.0000,0,0.7425,2.3378e-09,59.478,60.221
1197.0500,0,0.7425,2.3319e-09,59.545,60.288
1197.1000,0,0.7425,2.3261e-09,59.612,60.355
1197.1500,0,0.7425,2.3202e-09,59.68,60.422
1197.2000,0,0.7425,2.3143e-09,59.747,60.489
1197.2500,0,0.7425,2.3084e-09,59.814,60.557
1197.3000,0,0.7425,2.3025e-09,59.881,60.624
1197.3500,0,0.7425,2.2965e-09,59.949,60.691
1197.4000,0,0.7425,2.2906e-09,60.016,60.758
1197.4500,0,0.7425,2.2846e-09,60.083,60.826
1197.5000,0,0.7425,2.2786e-09,60.151,60.893
1197.5500,0,0.7425,2.2726e-09,60.218,60.961
1197.6000,0,0.7425,2.2666e-09,60.286,61.028
1197.6500,0,0.7425,2.2605e-09,60.353,61.096
1197.7000,0,0.7425,2.2545e-09,60.421,61.163
1197.7500,0,0.7425,2.2484e-09,60.488,61.231
1197.8000,0,0.7425,2.2423e-09,60.556,61.299
1197.8500,0,0.7425,2.2362e-09,60.624,61.366
1197.9000,0,0.7425,2.2301e-09,60.691,61.434
1197.9500,0,0.7425,2.2239e-09,60.759,61.502
1198.0000,0,0.7425,2.2178e-09,60.827,61.57
1198.0500,0,0.7425,2.2116e-09,60.895,61.637
1198.1000,0,0.7425,2.2054e-09,60.963,61.705
1198.1500,0,0.7425,2.1992e-09,61.031,61.773
