wavelength,readnoise,dark_counts,sky_counts,target_counts,total_counts
1194.5000,0,0.7425,2.3564e-10,24.905,25.648
1194.5500,0,0.7425,4.0334e-10,26.597,27.339
1194.6000,0,0.7425,4.4067e-10,26.628,27.371
1194.6500,0,0.7425,4.4154e-10,26.66,27.403
1194.7000,0,0.7425,4.4068e-10,26.692,27.434
1194.7500,0,0.7425,4.3981e-10,26.724,27.466
1194.8000,0,0.7425,4.3893e-10,26.755,27.498
1194.8500,0,0.7425,4.3806e-10,26.787,27.53
1194.9000,0,0.7425,4.3718e-10,26.819,27.562
1194.9500,0,0.7425,4.363e-10,26.851,27.594
1195.0000,0,0.7425,4.3542e-10,26.883,27.626
1195.0500,0,0.7425,4.3453e-10,26.915,27.657
1195.1000,0,0.7425,4.3365e-10,26.947,27.689
1195.1500,0,0.7425,4.3275e-10,26.979,27.721
1195.2000,0,0.7425,4.3186e-10,27.011,27.753
1195.2500,0,0.7425,4.3097e-10,27.043,27.785
1195.3000,0,0.7425,4.3007e-10,27.075,27.817
1195.3500,0,0.7425,4.2917e-10,27.107,27.85
1195.4000,0,0.7425,4.2826e-10,27.139,27.882
1195.4500,0,0.7425,4.2736e-10,27.171,27.914
1195.5000,0,0.7425,4.2645e-10,27.203,27.946
1195.5500,0,0.7425,4.2553e-10,27.236,27.978
1195.6000,0,0.7425,4.2462e-10,27.268,28.01
1195.6500,0,0.7425,4.237e-10,27.3,28.042
1195.7000,0,0.7425,4.2278e-10,27.332,28.075
1195.7500,0,0.7425,4.2186e-10,27.364,28.107
1195.8000,0,0.7425,4.2094e-10,27.397,28.139
1195.8500,0,0.7425,4.2001e-10,27.429,28.171
1195.9000,0,0.7425,4.1908e-10,27.461,28.204
1195.9500,0,0.7425,4.1814e-10,27.493,28.236
1196.0000,0,0.7425,4.1721e-10,27.526,28.268
1196.0500,0,0.7425,4.1627e-10,27.558,28.301
1196.1000,0,0.7425,4.1533e-10,27.591,28.333
1196.1500,0,0.7425,4.1438e-10,27.623,28.365
1196.2000,0,0.7425,4.1344e-10,27.655,28.398
1196.2500,0,0.7425,4.1249e-10,27.688,28.43
1196.3000,0,0.7425,4.1154e-10,27.72,28.463
1196.3500,0,0.7425,4.1058e-10,27.753,28.495
1196.4000,0,0.7425,4.0963e-10,27.785,28.528
1196.4500,0,0.7425,4.0866e-10,27.818,28.56
1196.5000,0,0.7425,4.077e-10,27.85,28.593
1196.5500,0,0.7425,4.0674e-10,27.883,28.625
1196.6000,0,0.7425,4.0577e-10,27.915,28.658
1196.6500,0,0.7425,4.048e-10,27.948,28.691
1196.7000,0,0.7425,4.0382e-10,27.981,28.723
1196.7500,0,0.7425,4.0285e-10,28.013,28.756
1196.8000,0,0.7425,4.0187e-10,28.046,28.788
1196.8500,0,0.7425,4.0089e-10,28.079,28.821
1196.9000,0,0.7425,3.999e-10,28.111,28.854
1196.9500,0,0.7425,3.9892e-10,28.144,28.887
1197.0000,0,0.7425,3.9793e-10,28.177,28.919
1197.0500,0,0.7425,3.9693e-10,28.21,28.952
1197.1000,0,0.7425,3.9594e-10,28.242,28.985
1197.1500,0,0.7425,3.9494e-10,28.275,29.018
1197.2000,0,0.7425,3.9394e-10,28.308,29.051
1197.2500,0,0.7425,3.9293e-10,28.341,29.083
1197.3000,0,0.7425,3.9193e-10,28.374,29.116
1197.3500,0,0.7425,3.9092e-10,28.407,29.149
1197.4000,0,0.7425,3.8991e-10,28.44,29.182
1197.4500,0,0.7425,3.8889e-10,28.472,29.215
1197.5000,0,0.7425,3.8788e-10,28.505,29.248
1197.5500,0,0.7425,3.8686e-10,28.538,29.281
1197.6000,0,0.7425,3.8583e-10,28.571,29.314
1197.6500,0,0.7425,3.8481e-10,28.604,29.347
1197.7000,0,0.7425,3.8378e-10,28.637,29.38
1197.7500,0,0.7425,3.8275e-10,28.671,29.413
1197.8000,0,0.7425,3.8171e-10,28.704,29.446
1197.8500,0,0.7425,3.8068e-10,28.737,29.479
1197.9000,0,0.7425,3.7964e-10,28.77,29.512
1197.9500,0,0.7425,3.786e-10,28.803,29.545
1198.0000,0,0.7425,3.7755e-10,28.836,29.579
1198.0500,0,0.7425,3.765e-10,28.869,29.612
1198.1000,0,0.7425,3.7545e-10,28.902,29.645
1198.1500,0,0.7425,3.744e-10,28.936,29.678
1198.2000,0,0.7425,3.7334e-10,28.969,29.711
