# from https://www.stsci.edu/hst/instrumentation/focus-and-pointing/fov-geometry
# Aperture  ProposalID   Xref      Yref     V2ref     V3ref    Xscale    Yscale    Betax    Betay
#                          pixels            arc-seconds         arcsec/pixel         degrees
#
OFUV                       1040.66   1041.68 -213.6796 -224.8351  0.012371  0.012371   45.0000  135.0000
ONUV                       1040.65   1041.67 -213.6796 -224.8351  0.012375  0.012375   45.0000  135.0000
OVIS                        537.00    516.00 -213.6796 -224.8351  0.050763  0.050777   45.0559  135.0559
ON200X090   0.2X0.09       1040.42   1041.67 -213.6816 -224.8371  0.012375  0.012375   45.0000  135.0000
OV200X090   0.2X0.09        536.94    516.00 -213.6816 -224.8371  0.050763  0.050777   45.0559  135.0559
OF200X200   0.2X0.2        1040.66   1041.68 -213.6796 -224.8351  0.012371  0.012371   45.0000  135.0000
ON200X200   0.2X0.2        1040.65   1041.67 -213.6796 -224.8351  0.012375  0.012375   45.0000  135.0000
OV200X200   0.2X0.2         537.00    516.00 -213.6796 -224.8351  0.050763  0.050777   45.0559  135.0559
OF330X060   0.3X0.06       1058.13   1041.69 -213.5285 -224.6843  0.012371  0.012371   45.0000  135.0000
ON330X060   0.3X0.06       1058.12   1041.69 -213.5285 -224.6843  0.012375  0.012375   45.0000  135.0000
OV330X060   0.3X0.06        541.20    516.00 -213.5285 -224.6843  0.050763  0.050777   45.0559  135.0559
OF330X090   0.3X0.09       1044.55   1041.68 -213.6460 -224.8016  0.012371  0.012371   45.0000  135.0000
ON330X090   0.3X0.09       1044.54   1041.67 -213.6460 -224.8016  0.012375  0.012375   45.0000  135.0000
OV330X090   0.3X0.09        537.93    516.00 -213.6460 -224.8016  0.050763  0.050777   45.0559  135.0559
OF330X200   0.3X0.2        1047.04   1041.68 -213.6244 -224.7800  0.012371  0.012371   45.0000  135.0000
ON330X200   0.3X0.2        1047.03   1041.68 -213.6244 -224.7800  0.012375  0.012375   45.0000  135.0000
OV330X200   0.3X0.2         538.53    516.00 -213.6244 -224.7800  0.050763  0.050777   45.0559  135.0559
OF1X060     1X0.06         1056.55   1041.69 -213.5421 -224.6979  0.012371  0.012371   45.0000  135.0000
ON1X060     1X0.06         1056.54   1041.69 -213.5421 -224.6979  0.012375  0.012375   45.0000  135.0000
OV1X060     1X0.06          540.82    516.00 -213.5421 -224.6979  0.050763  0.050777   45.0559  135.0559
OF1X200     1X0.2          1049.12   1041.68 -213.6065 -224.7621  0.012371  0.012371   45.0000  135.0000
ON1X200     1X0.2          1049.11   1041.68 -213.6065 -224.7621  0.012375  0.012375   45.0000  135.0000
OV1X200     1X0.2           539.03    516.00 -213.6065 -224.7621  0.050763  0.050777   45.0559  135.0559
OF200X500   0.2X0.5        1045.75   1041.68 -213.6356 -224.7912  0.012371  0.012371   45.0000  135.0000
ON200X500   0.2X0.5        1045.74   1041.68 -213.6356 -224.7912  0.012375  0.012375   45.0000  135.0000
OV200X500   0.2X0.5         538.22    516.00 -213.6356 -224.7912  0.050763  0.050777   45.0559  135.0559
OF6X060     6X0.06         1042.05   1041.68 -213.6675 -224.8231  0.012371  0.012371   45.0000  135.0000
ON6X060     6X0.06         1042.04   1041.67 -213.6675 -224.8231  0.012375  0.012375   45.0000  135.0000
OV6X060     6X0.06          537.33    516.00 -213.6675 -224.8231  0.050763  0.050777   45.0559  135.0559
OF6X200     6X0.2          1047.83   1041.68 -213.6176 -224.7732  0.012371  0.012371   45.0000  135.0000
ON6X200     6X0.2          1047.82   1041.68 -213.6176 -224.7732  0.012375  0.012375   45.0000  135.0000
OV6X200     6X0.2           538.72    516.00 -213.6176 -224.7732  0.050763  0.050777   45.0559  135.0559
OF100X030   0.1X0.03       1048.62   1041.68 -213.6108 -224.7664  0.012371  0.012371   45.0000  135.0000
ON100X030   0.1X0.03       1048.61   1041.68 -213.6108 -224.7664  0.012375  0.012375   45.0000  135.0000
OV100X030   0.1X0.03        538.91    516.00 -213.6108 -224.7664  0.050763  0.050777   45.0559  135.0559
OF500X500   0.5X0.5        1045.38   1041.68 -213.6388 -224.7944  0.012371  0.012371   45.0000  135.0000
ON500X500   0.5X0.5        1045.37   1041.67 -213.6388 -224.7944  0.012375  0.012375   45.0000  135.0000
OV500X500   0.5X0.5         538.13    516.00 -213.6388 -224.7944  0.050763  0.050777   45.0559  135.0559
OF6X500     6X0.5          1050.82   1041.69 -213.5917 -224.7474  0.012371  0.012371   45.0000  135.0000
ON6X500     6X0.5          1050.81   1041.68 -213.5917 -224.7474  0.012375  0.012375   45.0000  135.0000
OV6X500     6X0.5           539.44    516.00 -213.5917 -224.7474  0.050763  0.050777   45.0559  135.0559
OF6X6       6X6            1054.52   1041.69 -213.5598 -224.7155  0.012371  0.012371   45.0000  135.0000
ON6X6       6X6            1054.51   1041.68 -213.5598 -224.7155  0.012375  0.012375   45.0000  135.0000
OV6X6       6X6             540.33    516.00 -213.5598 -224.7155  0.050763  0.050777   45.0559  135.0559
OFL050      52X0.05        1042.09   1041.68 -213.6672 -224.8227  0.012371  0.012371   45.0000  135.0000
ONL050      52X0.05        1042.09   1041.67 -213.6672 -224.8227  0.012375  0.012375   45.0000  135.0000
OVL050      52X0.05         537.34    516.00 -213.6672 -224.8227  0.050763  0.050777   45.0559  135.0559
OFL100      52X0.1         1041.89   1041.68 -213.6690 -224.8245  0.012371  0.012371   45.0000  135.0000
ONL100      52X0.1         1041.88   1041.67 -213.6690 -224.8245  0.012375  0.012375   45.0000  135.0000
OVL100      52X0.1          537.29    516.00 -213.6690 -224.8245  0.050763  0.050777   45.0559  135.0559
OFL200      52X0.2         1046.96   1041.68 -213.6251 -224.7808  0.012371  0.012371   45.0000  135.0000
ONL200      52X0.2         1046.95   1041.68 -213.6251 -224.7808  0.012375  0.012375   45.0000  135.0000
OVL200      52X0.2          538.51    516.00 -213.6251 -224.7808  0.050763  0.050777   45.0559  135.0559
OFL500      52X0.5         1046.37   1041.68 -213.6302 -224.7858  0.012371  0.012371   45.0000  135.0000
ONL500      52X0.5         1046.36   1041.68 -213.6302 -224.7858  0.012375  0.012375   45.0000  135.0000
OVL500      52X0.5          538.37    516.00 -213.6302 -224.7858  0.050763  0.050777   45.0559  135.0559
OFL2        52X2           1045.92   1041.68 -213.6341 -224.7897  0.012371  0.012371   45.0000  135.0000
ONL2        52X2           1045.91   1041.68 -213.6341 -224.7897  0.012375  0.012375   45.0000  135.0000
OVL2        52X2            538.26    516.00 -213.6341 -224.7897  0.050763  0.050777   45.0559  135.0559
OFLBAR2     52X0.1B0.5     1047.37   1121.57 -212.9251 -225.4736  0.012371  0.012371   45.0000  135.0000
OFLBARR2    52X0.1B0.5-R   1047.28   1041.68 -213.6223 -224.7779  0.012371  0.012371   45.0000  135.0000
ONLBAR2     52X0.1B0.5     1047.36   1121.55 -212.9251 -225.4736  0.012375  0.012375   45.0000  135.0000
ONLBARR2    52X0.1B0.5-R   1047.27   1041.68 -213.6223 -224.7779  0.012375  0.012375   45.0000  135.0000
OVLBAR2     52X0.1B0.5      538.63    535.40 -212.9251 -225.4736  0.050763  0.050777   45.0559  135.0559
OVLBARR2    52X0.1B0.5-R    538.59    516.00 -213.6223 -224.7779  0.050763  0.050777   45.0559  135.0559
OF200X60A   0.2X0.06FPA    1046.83   1041.68 -213.6262 -224.7818  0.012371  0.012371   45.0000  135.0000
ON200X60A   0.2X0.06FPA    1046.82   1041.68 -213.6262 -224.7818  0.012375  0.012375   45.0000  135.0000
OV200X60A   0.2X0.06FPA     538.48    516.00 -213.6262 -224.7818  0.050763  0.050777   45.0559  135.0559
OF200X60B   0.2X0.06FPB    1081.49   1041.72 -213.3266 -224.4828  0.012371  0.012371   45.0000  135.0000
ON200X60B   0.2X0.06FPB    1081.46   1041.71 -213.3266 -224.4828  0.012375  0.012375   45.0000  135.0000
OV200X60B   0.2X0.06FPB     546.82    516.00 -213.3266 -224.4828  0.050763  0.050777   45.0559  135.0559
OF200X60C   0.2X0.06FPC    1050.82   1041.69 -213.5917 -224.7474  0.012371  0.012371   45.0000  135.0000
